Formula,avg % of optimum found,exact optimums found,blunders
wuf20-0446.mwcnf,62.02770406538584,9,0
wuf20-0650.mwcnf,45.83914917280689,5,0
wuf20-0569.mwcnf,37.622138188992565,20,0
wuf20-0802.mwcnf,60.031031807602794,11,0
wuf20-0189.mwcnf,40.924929819795345,2,0
wuf20-0192.mwcnf,30.10579345088161,30,0
wuf20-0695.mwcnf,41.12011400651466,41,0
wuf20-086.mwcnf,65.95827814569537,6,0
wuf20-0606.mwcnf,100.0,100,0
wuf20-0876.mwcnf,64.41739513238161,4,0
wuf20-0474.mwcnf,36.0274951493067,3,0
wuf20-0771.mwcnf,62.1414551607445,62,0
wuf20-0900.mwcnf,56.889157965778715,3,0
wuf20-0944.mwcnf,49.04953059242474,49,0
wuf20-0485.mwcnf,56.8225939238168,0,0
wuf20-0281.mwcnf,46.27336754503453,2,0
wuf20-0157.mwcnf,61.735494327390604,21,0
wuf20-0241.mwcnf,52.430594761776184,13,0
wuf20-0185.mwcnf,99.9090909090909,99,0
wuf20-0738.mwcnf,41.234654128984005,15,0
wuf20-0130.mwcnf,29.36362108094477,3,0
wuf20-0620.mwcnf,38.14101299128433,4,0
wuf20-0276.mwcnf,57.80605480435563,8,0
wuf20-0922.mwcnf,58.08150064683053,28,0
wuf20-0277.mwcnf,46.01472591392703,2,0
wuf20-0573.mwcnf,71.0185543100116,13,0
wuf20-0668.mwcnf,61.76153650038243,28,0
wuf20-0463.mwcnf,70.52713728272437,45,0
wuf20-0748.mwcnf,51.13354921647438,12,0
wuf20-0353.mwcnf,53.32902600549184,11,0
wuf20-0349.mwcnf,56.14340274250889,4,0
wuf20-0172.mwcnf,100.0,100,0
wuf20-0395.mwcnf,56.690052409474546,0,0
wuf20-0132.mwcnf,100.0,100,0
wuf20-0149.mwcnf,59.950129247840614,7,0
wuf20-0121.mwcnf,71.67301871987445,20,0
wuf20-0788.mwcnf,42.18701221328567,1,0
wuf20-0992.mwcnf,36.56167044350923,10,0
wuf20-0915.mwcnf,54.086635692812244,3,0
wuf20-0512.mwcnf,46.031062535952,16,0
wuf20-0673.mwcnf,31.368049669853157,0,0
wuf20-0135.mwcnf,55.12452830188679,55,0
wuf20-0409.mwcnf,45.911267105730175,21,0
wuf20-0316.mwcnf,59.35428781744571,50,0
wuf20-0688.mwcnf,75.34826158940398,35,0
wuf20-0814.mwcnf,52.23617322388905,18,0
wuf20-0274.mwcnf,84.20996467471299,40,0
wuf20-0728.mwcnf,31.527936378466556,8,0
wuf20-0815.mwcnf,100.0,100,0
wuf20-0518.mwcnf,100.0,100,0
wuf20-0432.mwcnf,60.03820368202618,20,0
wuf20-0733.mwcnf,100.0,100,0
wuf20-0504.mwcnf,100.0,100,0
wuf20-0657.mwcnf,64.10928260627023,9,0
wuf20-0763.mwcnf,100.0,100,0
wuf20-0338.mwcnf,44.64993631897694,25,0
wuf20-0954.mwcnf,100.0,100,0
wuf20-0490.mwcnf,100.0,100,0
wuf20-0658.mwcnf,51.146315154976044,37,0
wuf20-033.mwcnf,63.60625329067271,14,0
wuf20-070.mwcnf,74.46069550779448,4,0
wuf20-0219.mwcnf,100.0,100,0
wuf20-0907.mwcnf,54.01439094257264,3,0
wuf20-0500.mwcnf,66.35822857612358,52,0
wuf20-0761.mwcnf,39.04548657978666,8,0
wuf20-0111.mwcnf,52.18593782455169,9,0
wuf20-0412.mwcnf,49.12193362193362,0,0
wuf20-0124.mwcnf,44.68076212695635,0,0
wuf20-0976.mwcnf,65.07921112188814,65,0
wuf20-0105.mwcnf,100.0,100,0
wuf20-0577.mwcnf,52.29967599980657,3,0
wuf20-0626.mwcnf,27.35816140776699,5,0
wuf20-090.mwcnf,85.75719245179252,25,0
wuf20-085.mwcnf,32.29895164017586,32,0
wuf20-0811.mwcnf,71.50118875774815,2,0
wuf20-0799.mwcnf,100.0,100,0
wuf20-0917.mwcnf,45.50221815365115,10,0
wuf20-0394.mwcnf,55.79411690122987,11,0
wuf20-0634.mwcnf,57.46837612582336,4,0
wuf20-0246.mwcnf,52.107426820059516,0,0
wuf20-0441.mwcnf,50.84845374053638,3,0
wuf20-0182.mwcnf,45.93449470252649,13,0
wuf20-0491.mwcnf,70.13371783496007,14,0
wuf20-0601.mwcnf,60.04599211563732,23,0
wuf20-0679.mwcnf,59.7900121609475,19,0
wuf20-0210.mwcnf,38.13890845070423,1,0
wuf20-0299.mwcnf,84.88962978114134,22,0
wuf20-0724.mwcnf,59.225826216115856,0,0
wuf20-0875.mwcnf,44.477027518487084,5,0
wuf20-0618.mwcnf,50.131190554280096,50,0
wuf20-0477.mwcnf,100.0,100,0
wuf20-0285.mwcnf,75.14756374652866,61,0
