Formula,avg % of optimum found,exact optimums found,blunders
wuf50-0238.mwcnf,85.19580299017986,0,0
wuf50-0149.mwcnf,86.47857546403644,0,0
wuf50-0438.mwcnf,95.0414151612141,4,0
wuf50-0274.mwcnf,98.00957950858754,20,0
wuf50-0687.mwcnf,86.79873881856142,0,0
wuf50-0778.mwcnf,93.39295809404165,4,0
wuf50-018.mwcnf,86.62915220624691,0,0
wuf50-0130.mwcnf,96.274549824764,13,0
wuf50-0245.mwcnf,93.8742857142857,0,0
wuf50-0755.mwcnf,89.6830450836691,1,0
wuf50-0313.mwcnf,92.05884610852034,2,0
wuf50-0240.mwcnf,95.48076923076924,5,0
wuf50-0805.mwcnf,84.35858146903637,0,0
wuf50-067.mwcnf,95.3508554538737,14,0
wuf50-0900.mwcnf,91.07583359311127,3,0
wuf50-0825.mwcnf,81.59752144215702,2,0
wuf50-0829.mwcnf,89.17882648459786,10,0
wuf50-0602.mwcnf,88.48656157885581,0,0
wuf50-0442.mwcnf,95.49588408137632,2,0
wuf50-0975.mwcnf,86.34302220733719,0,0
wuf50-046.mwcnf,86.74713513703814,0,0
wuf50-015.mwcnf,84.37113542625353,0,0
wuf50-0210.mwcnf,78.41714285714285,0,0
wuf50-040.mwcnf,84.29390035070927,0,0
wuf50-0206.mwcnf,82.50931428450004,0,0
wuf50-0386.mwcnf,82.50697616643427,0,0
wuf50-0315.mwcnf,84.39410812986097,2,0
wuf50-0628.mwcnf,81.12005388035068,0,0
wuf50-0327.mwcnf,96.25138249332409,8,0
wuf50-0462.mwcnf,86.06230545950933,0,0
wuf50-0157.mwcnf,79.78512193990176,0,0
wuf50-0592.mwcnf,96.05874103898654,9,0
wuf50-0492.mwcnf,82.81606332187113,0,0
wuf50-0179.mwcnf,94.81132075471697,0,0
wuf50-0694.mwcnf,74.35541429795188,0,0
wuf50-0294.mwcnf,87.87155005566103,0,0
wuf50-0925.mwcnf,81.56157036123106,0,0
wuf50-0901.mwcnf,93.1124594186818,1,0
wuf50-0967.mwcnf,80.76042142344576,0,0
wuf50-0473.mwcnf,95.76905493869579,1,0
wuf50-0359.mwcnf,98.38875568416701,22,0
wuf50-0469.mwcnf,88.64402437026114,0,0
wuf50-0868.mwcnf,95.84784380922709,10,0
wuf50-0559.mwcnf,88.20702433580092,0,0
wuf50-055.mwcnf,91.05755385874012,2,0
wuf50-0221.mwcnf,96.50980392156862,10,0
wuf50-090.mwcnf,86.55286706189587,3,0
wuf50-0164.mwcnf,94.9,4,0
wuf50-0113.mwcnf,93.3838270725169,2,0
wuf50-0173.mwcnf,94.43576401096969,8,0
wuf50-0896.mwcnf,96.89754334838992,13,0
wuf50-092.mwcnf,83.13675269993344,0,0
wuf50-0207.mwcnf,87.48097144555706,0,0
wuf50-0153.mwcnf,98.17307692307693,10,0
wuf50-0605.mwcnf,89.88992546079751,0,0
wuf50-0907.mwcnf,84.40190610242176,0,0
wuf50-0370.mwcnf,92.76263147395284,2,0
wuf50-0904.mwcnf,87.55840525696352,0,0
wuf50-0536.mwcnf,91.57173281527186,2,0
wuf50-0699.mwcnf,97.98142607344083,40,0
wuf50-0862.mwcnf,95.1863065965261,33,0
wuf50-0428.mwcnf,83.17563102589102,2,0
wuf50-0320.mwcnf,80.1984565098965,0,0
wuf50-068.mwcnf,86.81275663837941,0,0
wuf50-0512.mwcnf,86.81932284948451,0,0
wuf50-0424.mwcnf,84.12873047943764,0,0
wuf50-0792.mwcnf,85.1311990196454,1,0
wuf50-0185.mwcnf,89.62959560347716,0,0
wuf50-0790.mwcnf,87.94514337122295,0,0
wuf50-0662.mwcnf,91.25382916577617,0,0
wuf50-0432.mwcnf,88.39171701112879,0,0
wuf50-0530.mwcnf,96.2887641870082,1,0
wuf50-0521.mwcnf,85.31726805602221,0,0
wuf50-0503.mwcnf,97.59789967182373,27,0
wuf50-0882.mwcnf,95.29576556261028,9,0
wuf50-0269.mwcnf,88.56368362286477,2,0
wuf50-0458.mwcnf,77.86629954045264,0,0
wuf50-0177.mwcnf,95.96296296296296,0,0
wuf50-0436.mwcnf,95.38640206903412,1,0
wuf50-0437.mwcnf,90.17748291768923,1,0
wuf50-0656.mwcnf,88.22589647285928,1,0
wuf50-0627.mwcnf,88.94940472119248,0,0
wuf50-0522.mwcnf,96.81750105143274,9,0
wuf50-0780.mwcnf,90.35286033169149,0,0
wuf50-0535.mwcnf,92.06437651042448,1,0
wuf50-0270.mwcnf,99.48884598066077,77,0
wuf50-0836.mwcnf,90.20684527032392,0,0
wuf50-0450.mwcnf,92.0353016787462,4,0
wuf50-0646.mwcnf,88.82619295181757,0,0
wuf50-0552.mwcnf,97.68493709706672,10,0
wuf50-083.mwcnf,93.63472059193427,0,0
wuf50-0565.mwcnf,94.84722222222223,9,0
wuf50-0569.mwcnf,97.47466948466588,1,0
wuf50-0115.mwcnf,72.84762975309121,1,0
wuf50-0601.mwcnf,87.14775237995302,2,0
wuf50-0866.mwcnf,89.82563761009611,0,0
wuf50-0752.mwcnf,87.84979326480858,0,0
wuf50-0941.mwcnf,97.55726671062594,12,0
wuf50-0708.mwcnf,91.65345467821936,0,0
wuf50-0412.mwcnf,94.12343089009755,3,0
wuf50-0697.mwcnf,91.07681926601667,2,0
wuf50-0715.mwcnf,91.44043801889492,0,0
wuf50-077.mwcnf,95.69541057639591,3,0
wuf50-0226.mwcnf,96.79394042430762,2,0
wuf50-0624.mwcnf,97.12159212224542,9,0
wuf50-0545.mwcnf,93.8733772946626,1,0
wuf50-0933.mwcnf,81.1426875721639,0,0
wuf50-0775.mwcnf,87.31438225487226,0,0
wuf50-0353.mwcnf,78.0799961623333,2,0
wuf50-0885.mwcnf,90.36869449784858,0,0
wuf50-0108.mwcnf,85.48143551032557,0,0
wuf50-0593.mwcnf,91.04066401151312,5,0
wuf50-0267.mwcnf,98.4072757337743,28,0
wuf50-0580.mwcnf,94.71318280862573,13,0
wuf50-0731.mwcnf,96.2492653475574,3,0
wuf50-0381.mwcnf,97.56798251604972,13,0
wuf50-0219.mwcnf,82.9946452476573,0,0
wuf50-0346.mwcnf,97.67209564944062,9,0
wuf50-0766.mwcnf,92.3805021418167,0,0
wuf50-0873.mwcnf,99.26305452286233,58,0
wuf50-0673.mwcnf,83.42803541781959,0,0
wuf50-0408.mwcnf,98.09291826182451,35,0
wuf50-033.mwcnf,86.03222640338286,0,0
wuf50-0402.mwcnf,96.62668924377459,14,0
wuf50-0955.mwcnf,80.33888150651126,0,0
wuf50-076.mwcnf,85.1760129974482,0,0
wuf50-0385.mwcnf,87.46442132755199,0,0
wuf50-0230.mwcnf,77.80710659898477,0,0
wuf50-0771.mwcnf,93.36043434370993,0,0
wuf50-0726.mwcnf,78.0666898125186,1,0
wuf50-0982.mwcnf,97.27603458622674,29,0
wuf50-0988.mwcnf,87.37702769523243,2,0
wuf50-0208.mwcnf,96.30714225951424,4,0
wuf50-0420.mwcnf,97.72180403344255,21,0
wuf50-0494.mwcnf,82.41334762892397,0,0
wuf50-0326.mwcnf,93.31021282090802,5,0
wuf50-0396.mwcnf,86.73220045891391,1,0
wuf50-03.mwcnf,91.12489166287357,0,0
wuf50-0507.mwcnf,96.44759739924281,6,0
wuf50-0280.mwcnf,93.5299373078987,1,0
wuf50-0993.mwcnf,98.4909090909091,31,0
wuf50-0971.mwcnf,89.1062533872307,0,0
wuf50-0803.mwcnf,92.85224466482622,1,0
wuf50-0865.mwcnf,97.43146812750298,17,0
wuf50-0889.mwcnf,95.99086144189752,9,0
wuf50-0411.mwcnf,85.16418618894502,3,0
wuf50-091.mwcnf,84.87605842032168,0,0
wuf50-0903.mwcnf,95.4872077067211,8,0
wuf50-0407.mwcnf,87.97828238849071,0,0
wuf50-0476.mwcnf,93.48498297209755,2,0
wuf50-0306.mwcnf,91.81539401758735,0,0
wuf50-0751.mwcnf,92.44047226436251,1,0
wuf50-0665.mwcnf,94.83196318156268,12,0
wuf50-0879.mwcnf,98.45978889168133,38,0
wuf50-0754.mwcnf,95.72718855120196,6,0
wuf50-0454.mwcnf,93.1663722339826,2,0
wuf50-014.mwcnf,91.5180184696276,5,0
wuf50-0366.mwcnf,95.29129610417488,6,0
wuf50-0934.mwcnf,95.4668402364466,0,0
wuf50-0449.mwcnf,87.5569094255608,0,0
wuf50-0139.mwcnf,95.38757396449704,8,0
wuf50-0451.mwcnf,94.12557403139972,2,0
wuf50-084.mwcnf,92.33345960173205,0,0
wuf50-0797.mwcnf,86.95548248474323,0,0
wuf50-0378.mwcnf,88.55513647812458,0,0
wuf50-0337.mwcnf,97.13992774870808,6,0
wuf50-0737.mwcnf,91.69389971045011,0,0
wuf50-093.mwcnf,94.6117697039533,3,0
wuf50-0363.mwcnf,96.85373502493024,15,0
wuf50-0566.mwcnf,97.84759697274698,24,0
wuf50-0617.mwcnf,92.0421688074203,4,0
wuf50-0351.mwcnf,88.03809372853596,7,0
wuf50-0826.mwcnf,98.27754096106452,20,0
wuf50-0243.mwcnf,77.7503093950692,0,0
wuf50-0784.mwcnf,91.37030348768259,1,0
wuf50-0365.mwcnf,88.26213383769165,0,0
wuf50-0557.mwcnf,98.09815950920245,10,0
wuf50-0508.mwcnf,89.49532308800909,1,0
wuf50-0439.mwcnf,76.59394717434651,0,0
wuf50-0635.mwcnf,82.14353411106231,0,0
wuf50-0763.mwcnf,93.24149957120103,1,0
wuf50-0298.mwcnf,92.72868721582701,1,0
wuf50-0549.mwcnf,85.1774394775961,0,0
wuf50-0744.mwcnf,94.0207066177089,4,0
wuf50-0718.mwcnf,91.9173755075871,0,0
wuf50-0279.mwcnf,94.89608718085377,19,0
wuf50-0926.mwcnf,81.45755789311447,0,0
wuf50-0888.mwcnf,87.8663129502392,1,0
wuf50-0957.mwcnf,97.45819270576398,19,0
wuf50-0114.mwcnf,88.76383143547187,0,0
wuf50-043.mwcnf,93.85596293845136,6,0
wuf50-0145.mwcnf,97.26915112591868,4,0
wuf50-0459.mwcnf,91.84767765600141,0,0
wuf50-0201.mwcnf,88.04875255159901,0,0
wuf50-0340.mwcnf,91.04342066657564,0,0
wuf50-0997.mwcnf,87.088321681803,0,0
wuf50-0367.mwcnf,97.70814477209876,14,0
wuf50-0705.mwcnf,91.61895296923736,0,0
wuf50-0258.mwcnf,98.36410256410255,28,0
wuf50-0184.mwcnf,92.43810245481096,0,0
wuf50-078.mwcnf,99.42614891943518,65,0
wuf50-0806.mwcnf,95.323386378351,0,0
wuf50-0683.mwcnf,98.77974969224456,42,0
wuf50-0129.mwcnf,98.08362255476426,19,0
wuf50-059.mwcnf,91.46433732935463,0,0
wuf50-0290.mwcnf,95.31880841155841,2,0
wuf50-0222.mwcnf,84.79860463133564,0,0
wuf50-0588.mwcnf,93.20643878749065,0,0
wuf50-0960.mwcnf,97.12727272727273,11,0
wuf50-070.mwcnf,94.75459057721329,5,0
wuf50-0137.mwcnf,87.53896996131542,0,0
wuf50-012.mwcnf,91.68359126121673,0,0
wuf50-0328.mwcnf,88.94921664312315,0,0
wuf50-0151.mwcnf,98.86274509803921,34,0
wuf50-0369.mwcnf,98.66655763978609,51,0
wuf50-0887.mwcnf,86.71284638711701,0,0
