Formula,avg % of optimum found,exact optimums found,blunders
wuf75-019.mwcnf,98.36368217054263,22,0
wuf75-024.mwcnf,92.57942733869386,1,0
wuf75-063.mwcnf,91.88654984992294,0,0
wuf75-086.mwcnf,96.30387491502378,2,0
wuf75-021.mwcnf,89.5130662020906,0,0
wuf75-064.mwcnf,82.18028930376894,0,0
wuf75-037.mwcnf,95.29879430032882,1,0
wuf75-041.mwcnf,96.60599781044729,14,1
wuf75-074.mwcnf,89.68206001276867,0,0
wuf75-048.mwcnf,82.15494570749915,0,0
wuf75-058.mwcnf,87.28077929425075,0,0
wuf75-093.mwcnf,84.40478573378219,0,0
wuf75-076.mwcnf,82.67498600485165,0,0
wuf75-069.mwcnf,92.82264555943118,2,0
wuf75-095.mwcnf,93.84058955104649,1,1
wuf75-050.mwcnf,90.8734890558641,0,0
wuf75-061.mwcnf,77.35407220822839,0,0
wuf75-080.mwcnf,88.33970438328237,0,0
wuf75-022.mwcnf,87.56411500667232,0,0
wuf75-040.mwcnf,56.92928877181429,1,41
wuf75-068.mwcnf,86.11192139402779,0,0
wuf75-02.mwcnf,84.79592291411386,0,0
wuf75-016.mwcnf,95.87631127597622,0,0
wuf75-0100.mwcnf,92.00116659767433,0,0
wuf75-091.mwcnf,95.89032845992313,9,2
wuf75-047.mwcnf,89.44506015675702,0,0
wuf75-062.mwcnf,97.82709001329475,10,0
wuf75-054.mwcnf,89.9940371965359,0,0
wuf75-097.mwcnf,87.347481091302,0,8
wuf75-042.mwcnf,85.99161019683768,0,0
wuf75-084.mwcnf,93.17424045702415,1,0
wuf75-079.mwcnf,96.16901538178134,3,0
wuf75-052.mwcnf,95.8475308086714,0,0
wuf75-055.mwcnf,84.63643410852714,4,13
wuf75-01.mwcnf,86.46926609987297,0,0
wuf75-098.mwcnf,89.86407682990136,0,0
wuf75-034.mwcnf,80.8284454572476,0,0
wuf75-067.mwcnf,93.56782064556792,0,0
wuf75-073.mwcnf,83.97054980947196,0,0
wuf75-070.mwcnf,90.05647041409169,0,0
wuf75-023.mwcnf,94.61584330794341,0,0
wuf75-08.mwcnf,91.52109255155958,1,2
wuf75-090.mwcnf,93.7290284925983,0,0
wuf75-06.mwcnf,93.21016155243285,0,0
wuf75-071.mwcnf,87.48913272842373,0,0
wuf75-051.mwcnf,93.70081998044083,3,4
wuf75-010.mwcnf,85.07930035411523,0,0
wuf75-025.mwcnf,83.72683300274906,0,0
wuf75-046.mwcnf,95.39771781766314,18,3
wuf75-083.mwcnf,94.77501485190528,2,0
wuf75-012.mwcnf,84.34078126793435,7,14
wuf75-028.mwcnf,95.09775919204671,0,0
wuf75-045.mwcnf,91.59634846544674,1,0
wuf75-060.mwcnf,92.97077011873351,0,0
wuf75-092.mwcnf,80.21643640186214,0,0
wuf75-059.mwcnf,87.1513959217189,0,0
wuf75-035.mwcnf,88.18584677564866,0,0
wuf75-096.mwcnf,95.17487760621727,2,0
wuf75-087.mwcnf,87.1186758744933,0,0
wuf75-075.mwcnf,88.95808314087759,0,0
wuf75-085.mwcnf,81.7048417132216,0,0
wuf75-033.mwcnf,81.24717672940601,0,0
wuf75-081.mwcnf,92.22325408618127,0,0
wuf75-031.mwcnf,91.29624542124542,1,0
wuf75-039.mwcnf,95.08319611071903,0,0
wuf75-03.mwcnf,95.9350181981761,39,3
wuf75-088.mwcnf,87.24875378315826,0,0
wuf75-09.mwcnf,84.91336348319588,0,0
wuf75-049.mwcnf,91.43294609872257,1,0
wuf75-029.mwcnf,88.6342717111948,0,0
wuf75-077.mwcnf,86.27567385696662,0,0
wuf75-013.mwcnf,86.99854186074771,0,0
wuf75-032.mwcnf,92.85086435381146,0,0
wuf75-072.mwcnf,82.81265193370166,0,0
wuf75-078.mwcnf,93.85223167463,0,0
wuf75-065.mwcnf,85.92872539831303,0,0
wuf75-044.mwcnf,95.70039901519654,4,0
wuf75-07.mwcnf,89.53298919880275,7,0
wuf75-017.mwcnf,88.54159225491118,0,0
wuf75-099.mwcnf,90.59698570257719,0,0
wuf75-020.mwcnf,95.42175554357136,0,0
wuf75-053.mwcnf,94.34782435606513,1,0
wuf75-027.mwcnf,90.60829244357214,0,0
wuf75-066.mwcnf,87.85587238285144,0,0
wuf75-030.mwcnf,85.5679169781452,6,2
wuf75-014.mwcnf,83.09485343104598,0,0
wuf75-082.mwcnf,88.95904970303219,0,0
wuf75-038.mwcnf,94.6374946707492,2,1
wuf75-094.mwcnf,87.17429726426624,0,0
wuf75-043.mwcnf,89.21701578076441,1,0
wuf75-05.mwcnf,96.27701521407582,2,0
wuf75-011.mwcnf,93.14199754400327,0,0
wuf75-018.mwcnf,85.23327321911633,0,0
wuf75-015.mwcnf,93.3743444474218,0,0
wuf75-089.mwcnf,89.27513706553997,0,0
wuf75-036.mwcnf,95.4792539290445,0,0
wuf75-04.mwcnf,88.10572103680366,6,10
wuf75-057.mwcnf,94.52295418078089,1,1
wuf75-026.mwcnf,87.86785863219349,1,0
wuf75-056.mwcnf,93.17395935031507,0,0
TOTAL,89.56719451651958,177,106
