File,Best Avg % Row,Worst Avg % Row,Best Exact Optimums Row,Worst Exact Optimums Row
BATCH-50-218-Q.csv,"{'Formula': 'wuf50-0513.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf50-0148.mwcnf', 'avg % of optimum found': 12.170666666666666, 'exact optimums found': 0, 'blunders': 0}","{'Formula': 'wuf50-0513.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf50-0548.mwcnf', 'avg % of optimum found': 40.5734249171009, 'exact optimums found': 0, 'blunders': 0}"
BATCH-50-218-N.csv,"{'Formula': 'wuf50-0441.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 99, 'blunders': 0}","{'Formula': 'wuf50-0350.mwcnf', 'avg % of optimum found': 54.60140866664789, 'exact optimums found': 0, 'blunders': 0}","{'Formula': 'wuf50-0410.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf50-0238.mwcnf', 'avg % of optimum found': 85.19580299017986, 'exact optimums found': 0, 'blunders': 0}"
BATCH-20-91-M.csv,"{'Formula': 'wuf20-0514.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf20-0230.mwcnf', 'avg % of optimum found': 43.34192825112108, 'exact optimums found': 0, 'blunders': 0}","{'Formula': 'wuf20-0514.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf20-0275.mwcnf', 'avg % of optimum found': 62.83697656044245, 'exact optimums found': 0, 'blunders': 0}"
BATCH-20-91-N.csv,"{'Formula': 'wuf20-0247.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf20-0230.mwcnf', 'avg % of optimum found': 39.83669180368402, 'exact optimums found': 0, 'blunders': 0}","{'Formula': 'wuf20-0247.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf20-0654.mwcnf', 'avg % of optimum found': 87.72534981038316, 'exact optimums found': 0, 'blunders': 0}"
BATCH-75-325-N.csv,"{'Formula': 'wuf75-046.mwcnf', 'avg % of optimum found': 98.52, 'exact optimums found': 28, 'blunders': 0}","{'Formula': 'wuf75-040.mwcnf', 'avg % of optimum found': 67.42179076162002, 'exact optimums found': 2, 'blunders': 30}","{'Formula': 'wuf75-046.mwcnf', 'avg % of optimum found': 98.52, 'exact optimums found': 28, 'blunders': 0}","{'Formula': 'wuf75-045.mwcnf', 'avg % of optimum found': 91.94518418547484, 'exact optimums found': 0, 'blunders': 0}"
BATCH-20-91-Q.csv,"{'Formula': 'wuf20-0712.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf20-0203.mwcnf', 'avg % of optimum found': 5.846153846153847, 'exact optimums found': 4, 'blunders': 0}","{'Formula': 'wuf20-0712.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf20-0602.mwcnf', 'avg % of optimum found': 51.32913735653462, 'exact optimums found': 0, 'blunders': 0}"
BATCH-75-325-R.csv,"{'Formula': 'wuf75-06.mwcnf', 'avg % of optimum found': 82.23221061449762, 'exact optimums found': 1, 'blunders': 0}","{'Formula': 'wuf75-045.mwcnf', 'avg % of optimum found': 25.61216824047395, 'exact optimums found': 2, 'blunders': 0}","{'Formula': 'wuf75-03.mwcnf', 'avg % of optimum found': 61.717842323651446, 'exact optimums found': 33, 'blunders': 10}","{'Formula': 'wuf75-021.mwcnf', 'avg % of optimum found': 41.82316948806854, 'exact optimums found': 0, 'blunders': 0}"
BATCH-50-218-R.csv,"{'Formula': 'wuf50-0447.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf50-0148.mwcnf', 'avg % of optimum found': 10.193429536383173, 'exact optimums found': 0, 'blunders': 0}","{'Formula': 'wuf50-0447.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf50-0137.mwcnf', 'avg % of optimum found': 45.703377208871714, 'exact optimums found': 0, 'blunders': 0}"
BATCH-50-218-M.csv,"{'Formula': 'wuf50-0410.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf50-0350.mwcnf', 'avg % of optimum found': 51.39406535517326, 'exact optimums found': 0, 'blunders': 0}","{'Formula': 'wuf50-0410.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf50-0729.mwcnf', 'avg % of optimum found': 94.21734265734266, 'exact optimums found': 0, 'blunders': 0}"
BATCH-20-91-R.csv,"{'Formula': 'wuf20-0606.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf20-0203.mwcnf', 'avg % of optimum found': 1.2094764360625387, 'exact optimums found': 1, 'blunders': 0}","{'Formula': 'wuf20-0606.mwcnf', 'avg % of optimum found': 100.0, 'exact optimums found': 100, 'blunders': 0}","{'Formula': 'wuf20-0485.mwcnf', 'avg % of optimum found': 56.8225939238168, 'exact optimums found': 0, 'blunders': 0}"
BATCH-75-325-Q.csv,"{'Formula': 'wuf75-06.mwcnf', 'avg % of optimum found': 82.04738955823294, 'exact optimums found': 0, 'blunders': 0}","{'Formula': 'wuf75-045.mwcnf', 'avg % of optimum found': 24.72659609659279, 'exact optimums found': 2, 'blunders': 0}","{'Formula': 'wuf75-03.mwcnf', 'avg % of optimum found': 69.06397306397307, 'exact optimums found': 40, 'blunders': 8}","{'Formula': 'wuf75-067.mwcnf', 'avg % of optimum found': 48.26253454401896, 'exact optimums found': 0, 'blunders': 0}"
BATCH-75-325-M.csv,"{'Formula': 'wuf75-019.mwcnf', 'avg % of optimum found': 98.36368217054265, 'exact optimums found': 22, 'blunders': 0}","{'Formula': 'wuf75-040.mwcnf', 'avg % of optimum found': 56.92928877181429, 'exact optimums found': 1, 'blunders': 41}","{'Formula': 'wuf75-03.mwcnf', 'avg % of optimum found': 95.9350181981761, 'exact optimums found': 39, 'blunders': 3}","{'Formula': 'wuf75-063.mwcnf', 'avg % of optimum found': 91.88654984992294, 'exact optimums found': 0, 'blunders': 0}"
